p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server
14,13.0,13,-4.0,-0.0,1,17.133333333333333,-2.0,-13.0,1,-3.0,-1,1.0,3,0,13.0,-1.0,1.067,125.0,0.903,27,4,1.0,1,2,1.6166666666666654,-1.6166666666666654,0.0,0.533333333333335,1,-1.0,-13.0
14,-13.0,14,5.0,0.0,2,17.816666666666666,2.0,-13.0,1,0.0,1,3.0,0,0,13.0,2.0,7.402,126.0,20.027,28,5,1.0,1,2,0.0,0.0,0.0,0.34999999999999787,1,1.0,13.0
14,-14.0,15,5.0,1.0,2,18.416666666666668,2.0,-14.0,1,1.0,1,5.0,1,0,14.0,2.0,29.366,116.0,15.352,29,5,0.0,0,2,0.6000000000000014,0.6000000000000014,0.0,0.6833333333333336,1,1.0,14.0
14,-15.0,16,5.0,1.0,2,18.833333333333332,2.0,-15.0,1,2.0,1,1.0,2,0,15.0,2.0,8.276,129.0,4.285,30,5,0.0,1,2,1.0166666666666657,1.0166666666666657,0.0,0.6000000000000014,1,1.0,15.0
15,-16.0,16,5.0,1.0,2,19.333333333333332,2.0,-16.0,1,3.0,1,3.0,3,0,16.0,2.0,12.523,110.0,11.974,31,5,0.0,1,2,1.5166666666666657,1.5166666666666657,0.0,0.4166666666666643,2,1.0,16.0
16,-16.0,16,5.0,1.0,2,20.05,2.0,-16.0,1,4.0,1,2.0,4,0,16.0,2.0,6.965,113.0,5.609,32,5,0.0,1,2,2.2333333333333343,2.2333333333333343,1.0,0.5,2,1.0,16.0
17,-16.0,16,5.0,1.0,2,20.916666666666668,2.0,-16.0,0,5.0,1,2.0,5,0,16.0,2.0,12.74,104.0,8.518,33,5,0.0,1,2,3.1000000000000014,3.1000000000000014,0.0,0.7166666666666686,1,1.0,16.0
17,-16.0,17,5.0,0.0,2,21.45,2.0,-16.0,0,6.0,1,2.0,6,0,16.0,2.0,11.439,111.0,8.859,34,5,0.0,0,2,3.633333333333333,3.633333333333333,1.0,0.8666666666666671,2,1.0,16.0
17,-17.0,18,5.0,1.0,2,22.316666666666666,2.0,-17.0,0,7.0,1,5.0,7,0,17.0,2.0,25.6,97.0,30.782,35,5,0.0,0,2,4.5,4.5,0.0,0.5333333333333314,1,1.0,17.0
18,18.0,18,-6.0,-0.0,2,24.366666666666667,-3.0,-18.0,0,-0.0,-1,1.0,0,0,18.0,-2.0,9.574,114.0,6.824,36,6,0.0,1,3,0.0,-0.0,0.0,0.8666666666666671,1,-1.0,-18.0
18,18.0,19,-6.0,-0.0,2,24.883333333333333,-3.0,-18.0,1,-1.0,-1,1.0,1,0,18.0,-2.0,6.11,110.0,7.809,37,6,0.0,0,3,0.5166666666666657,-0.5166666666666657,0.0,2.0500000000000007,2,-1.0,-18.0
19,19.0,19,-6.0,-0.0,2,26.083333333333332,-3.0,-19.0,1,-2.0,-1,6.0,2,1,19.0,-2.0,29.593,90.0,29.094,38,6,0.0,1,3,1.716666666666665,-1.716666666666665,0.0,0.5166666666666657,1,-1.0,-19.0
20,19.0,19,-6.0,-0.0,2,26.5,-3.0,-19.0,0,-3.0,-1,1.0,3,0,19.0,-2.0,5.189,125.0,6.815,39,6,0.0,1,3,2.133333333333333,-2.133333333333333,0.0,1.1999999999999993,1,-1.0,-19.0
21,19.0,19,-6.0,-0.0,2,26.933333333333334,-3.0,-19.0,1,-4.0,-1,1.0,4,0,19.0,-2.0,2.617,127.0,2.678,40,6,0.0,1,3,2.5666666666666664,-2.5666666666666664,0.0,0.41666666666666785,2,-1.0,-19.0
21,-19.0,20,7.0,0.0,3,27.7,3.0,-19.0,1,0.0,1,1.0,0,1,19.0,3.0,4.667,111.0,5.043,41,7,0.0,1,3,0.0,0.0,0.0,0.43333333333333357,2,1.0,19.0
21,-20.0,21,7.0,1.0,3,28.616666666666667,3.0,-20.0,1,1.0,1,9.0,1,1,20.0,3.0,32.677,107.0,34.233,42,7,0.0,1,3,0.9166666666666679,0.9166666666666679,0.0,0.7666666666666657,1,1.0,20.0
21,-21.0,22,7.0,1.0,3,29.1,3.0,-21.0,1,2.0,1,3.0,2,0,21.0,3.0,19.138,120.0,9.872,43,7,0.0,1,3,1.4000000000000021,1.4000000000000021,0.0,0.9166666666666679,1,1.0,21.0
22,-22.0,22,7.0,1.0,3,29.533333333333335,3.0,-22.0,1,3.0,1,3.0,3,0,22.0,3.0,11.043,115.0,6.277,44,7,0.0,0,3,1.8333333333333357,1.8333333333333357,0.0,0.4833333333333343,2,1.0,22.0
22,-22.0,23,7.0,1.0,3,30.283333333333335,3.0,-22.0,0,4.0,1,6.0,4,1,22.0,3.0,18.664,104.0,18.076,45,7,0.0,1,3,2.5833333333333357,2.5833333333333357,0.0,0.43333333333333357,2,1.0,22.0
23,23.0,23,-8.0,-0.0,3,32.56666666666667,-4.0,-23.0,0,-0.0,-1,5.0,0,0,23.0,-3.0,25.324,101.0,31.727,46,8,0.0,1,4,0.0,-0.0,0.0,0.75,1,-1.0,-23.0
23,23.0,24,-8.0,-0.0,3,32.95,-4.0,-23.0,0,-1.0,-1,1.0,1,0,23.0,-3.0,4.853,132.0,5.879,47,8,0.0,0,4,0.38333333333333286,-0.38333333333333286,0.0,2.283333333333335,2,-1.0,-23.0
24,24.0,24,-8.0,-0.0,3,33.55,-4.0,-24.0,0,-2.0,-1,0.0,2,0,24.0,-3.0,0.93,132.0,0.929,48,8,0.0,0,4,0.9833333333333272,-0.9833333333333272,0.0,0.38333333333333286,1,-1.0,-24.0
24,24.0,25,-8.0,-0.0,3,33.96666666666667,-4.0,-24.0,0,-3.0,-1,1.0,3,0,24.0,-3.0,0.849,130.0,1.427,49,8,1.0,0,4,1.3999999999999986,-1.3999999999999986,0.0,0.5999999999999943,2,-1.0,-24.0
24,25.0,26,-8.0,-0.0,3,34.766666666666666,-4.0,-25.0,0,-4.0,-1,6.0,4,1,25.0,-3.0,18.464,101.0,17.838,50,8,0.0,1,4,2.1999999999999957,-2.1999999999999957,0.0,0.4166666666666714,2,-1.0,-25.0
24,26.0,27,-8.0,-1.0,3,36.03333333333333,-4.0,-26.0,0,-5.0,-1,16.0,5,0,26.0,-3.0,54.356,106.0,61.781,51,8,0.0,1,4,3.4666666666666615,-3.4666666666666615,0.0,0.7999999999999972,2,-1.0,-26.0
24,-27.0,28,9.0,0.0,3,37.3,5.0,-27.0,1,0.0,1,6.0,0,0,27.0,3.0,19.121,106.0,29.677,52,9,0.0,1,5,0.0,0.0,0.0,1.2666666666666657,1,1.0,27.0
25,-28.0,28,9.0,1.0,3,37.733333333333334,5.0,-28.0,0,1.0,1,1.0,1,1,28.0,3.0,4.725,115.0,3.341,53,9,0.0,1,5,0.4333333333333371,0.4333333333333371,0.0,1.2666666666666657,2,1.0,28.0
25,-28.0,29,9.0,0.0,3,38.43333333333333,5.0,-28.0,0,2.0,1,2.0,2,1,28.0,3.0,7.524,100.0,5.528,54,9,0.0,1,5,1.1333333333333329,1.1333333333333329,0.0,0.4333333333333371,1,1.0,28.0
26,-29.0,29,9.0,1.0,3,38.9,5.0,-29.0,0,3.0,1,1.0,3,0,29.0,3.0,6.116,122.0,4.227,55,9,0.0,1,5,1.6000000000000014,1.6000000000000014,0.0,0.6999999999999957,1,1.0,29.0
26,-29.0,30,9.0,0.0,3,39.483333333333334,5.0,-29.0,1,4.0,1,4.0,4,0,29.0,3.0,11.702,115.0,11.654,56,9,0.0,1,5,2.183333333333337,2.183333333333337,0.0,0.46666666666666856,1,1.0,29.0
27,-30.0,30,9.0,1.0,3,40.016666666666666,5.0,-30.0,1,5.0,1,3.0,5,0,30.0,3.0,11.519,129.0,11.34,57,9,0.0,1,5,2.7166666666666686,2.7166666666666686,0.0,0.5833333333333357,1,1.0,30.0
27,-30.0,31,9.0,0.0,3,40.55,5.0,-30.0,1,6.0,1,2.0,6,1,30.0,3.0,8.077,113.0,9.299,58,9,0.0,1,5,3.25,3.25,1.0,0.5333333333333314,1,1.0,30.0
28,-31.0,31,9.0,1.0,3,41.38333333333333,5.0,-31.0,0,7.0,1,7.0,7,1,31.0,3.0,29.751,114.0,31.428,59,9,0.0,1,5,4.083333333333336,4.083333333333336,0.0,0.5333333333333314,2,1.0,31.0
29,-31.0,31,9.0,0.0,3,42.516666666666666,5.0,-31.0,1,8.0,1,4.0,8,1,31.0,3.0,17.962,88.0,16.514,60,9,1.0,1,5,5.216666666666669,5.216666666666669,0.0,0.8333333333333357,1,1.0,31.0
29,-31.0,32,9.0,1.0,3,43.3,5.0,-31.0,0,9.0,1,6.0,9,0,31.0,3.0,23.411,123.0,21.882,61,9,1.0,1,5,6.0,6.0,0.0,1.1333333333333329,1,1.0,31.0
29,-32.0,33,9.0,0.0,3,43.983333333333334,5.0,-32.0,1,10.0,1,7.0,10,0,32.0,3.0,28.259,121.0,18.705,62,9,0.0,1,5,6.683333333333337,6.683333333333337,0.0,0.7833333333333314,1,1.0,32.0
29,-33.0,34,9.0,1.0,3,44.483333333333334,5.0,-33.0,1,11.0,1,1.0,11,0,33.0,3.0,3.14,130.0,2.109,63,9,0.0,1,5,7.183333333333337,7.183333333333337,0.0,0.6833333333333371,1,1.0,33.0
30,34.0,34,-1.0,-0.0,0,47.06666666666667,-0.0,-34.0,1,-0.0,-1,3.0,0,1,34.0,-0.0,19.606,132.0,16.592,64,1,0.0,1,0,0.0,-0.0,0.0,0.5,1,-2.0,-34.0
31,34.0,34,-1.0,-0.0,0,47.45,-0.0,-34.0,1,-1.0,-1,1.0,1,0,34.0,-0.0,0.843,123.0,1.621,65,1,1.0,1,0,0.38333333333333286,-0.38333333333333286,0.0,2.5833333333333357,1,-2.0,-34.0
32,34.0,34,-1.0,-0.0,0,47.86666666666667,-0.0,-34.0,1,-2.0,-1,1.0,2,0,34.0,-0.0,0.864,117.0,0.896,66,1,1.0,1,0,0.7999999999999972,-0.7999999999999972,0.0,0.38333333333333286,1,-2.0,-34.0
33,34.0,34,-1.0,-0.0,0,48.28333333333333,-0.0,-34.0,1,-3.0,-1,1.0,3,0,34.0,-0.0,3.818,123.0,3.619,67,1,0.0,1,0,1.2166666666666615,-1.2166666666666615,0.0,0.4166666666666643,1,-2.0,-34.0
33,-34.0,35,2.0,0.0,1,49.28333333333333,0.0,-34.0,1,0.0,1,1.0,0,0,34.0,1.0,6.471,122.0,9.33,68,2,0.0,0,0,0.0,0.0,0.0,0.4166666666666643,1,2.0,34.0
33,-35.0,36,2.0,1.0,1,49.63333333333333,0.0,-35.0,1,1.0,1,1.0,1,0,35.0,1.0,1.015,127.0,0.827,69,2,0.0,1,0,0.3500000000000014,0.3500000000000014,0.0,1.0,2,2.0,35.0
34,-36.0,36,2.0,1.0,1,50.233333333333334,0.0,-36.0,1,2.0,1,1.0,2,1,36.0,1.0,3.715,102.0,2.754,70,2,0.0,1,0,0.9500000000000028,0.9500000000000028,0.0,0.3500000000000014,2,2.0,36.0
35,-36.0,36,2.0,1.0,1,51.166666666666664,0.0,-36.0,0,3.0,1,2.0,3,1,36.0,1.0,3.801,111.0,3.314,71,2,1.0,1,0,1.8833333333333329,1.8833333333333329,0.0,0.6000000000000014,1,2.0,36.0
35,-36.0,37,2.0,0.0,1,51.9,0.0,-36.0,0,4.0,1,12.0,4,0,36.0,1.0,40.171,118.0,35.48,72,2,0.0,1,0,2.616666666666667,2.616666666666667,1.0,0.93333333333333,1,2.0,36.0
36,-37.0,37,2.0,1.0,1,52.35,0.0,-37.0,0,5.0,1,1.0,5,0,37.0,1.0,1.682,126.0,0.824,73,2,0.0,1,0,3.06666666666667,3.06666666666667,0.0,0.7333333333333343,2,2.0,37.0
37,-37.0,37,2.0,0.0,1,53.1,0.0,-37.0,1,6.0,1,2.0,6,0,37.0,1.0,13.243,97.0,11.674,74,2,0.0,0,0,3.81666666666667,3.81666666666667,1.0,0.45000000000000284,2,2.0,37.0
38,-37.0,37,2.0,1.0,1,54.18333333333333,0.0,-37.0,0,7.0,1,2.0,7,0,37.0,1.0,9.222,105.0,7.494,75,2,0.0,1,0,4.899999999999999,4.899999999999999,1.0,0.75,1,2.0,37.0
39,37.0,37,-3.0,-0.0,2,54.93333333333333,-0.0,-37.0,1,-0.0,-1,2.0,0,0,37.0,-2.0,10.59,129.0,8.235,76,3,0.0,1,0,0.0,-0.0,0.0,1.0833333333333286,1,-2.0,-37.0
40,37.0,37,-3.0,-0.0,2,55.333333333333336,-0.0,-37.0,0,-1.0,-1,1.0,1,0,37.0,-2.0,7.455,126.0,8.125,77,3,0.0,0,0,0.4000000000000057,-0.4000000000000057,0.0,0.75,1,-2.0,-37.0
41,37.0,37,-3.0,-0.0,2,55.833333333333336,-0.0,-37.0,1,-2.0,-1,1.0,2,0,37.0,-2.0,11.06,128.0,9.712,78,3,0.0,0,0,0.9000000000000057,-0.9000000000000057,0.0,0.4000000000000057,1,-2.0,-37.0
42,37.0,37,-3.0,-0.0,2,57.13333333333333,-0.0,-37.0,0,-3.0,-1,3.0,3,1,37.0,-2.0,5.077,108.0,10.788,79,3,1.0,1,0,2.200000000000003,-2.200000000000003,0.0,0.5,2,-2.0,-37.0
43,-37.0,37,4.0,0.0,3,59.36666666666667,0.0,-37.0,0,0.0,1,7.0,0,0,37.0,3.0,35.246,101.0,33.044,80,4,0.0,0,0,0.0,0.0,1.0,1.2999999999999972,2,2.0,37.0
43,-37.0,38,4.0,0.0,3,60.28333333333333,0.0,-37.0,0,1.0,1,10.0,1,0,37.0,3.0,44.017,106.0,54.924,81,4,0.0,1,0,0.9166666666666643,0.9166666666666643,0.0,2.2333333333333343,1,2.0,37.0
43,-38.0,39,4.0,0.0,3,60.68333333333333,0.0,-38.0,1,2.0,1,1.0,2,0,38.0,3.0,9.173,111.0,6.013,82,4,0.0,1,0,1.3166666666666629,1.3166666666666629,0.0,0.9166666666666643,1,2.0,38.0
44,-39.0,39,4.0,1.0,3,61.35,0.0,-39.0,1,3.0,1,1.0,3,0,39.0,3.0,0.939,110.0,0.761,83,4,0.0,0,0,1.9833333333333343,1.9833333333333343,0.0,0.3999999999999986,1,2.0,39.0
45,-39.0,39,4.0,0.0,3,62.083333333333336,0.0,-39.0,0,4.0,1,8.0,4,0,39.0,3.0,40.876,119.0,57.844,84,4,0.0,0,0,2.7166666666666686,2.7166666666666686,0.0,0.6666666666666714,2,2.0,39.0
45,-39.0,40,4.0,0.0,3,62.9,0.0,-39.0,1,5.0,1,4.0,5,0,39.0,3.0,15.558,95.0,12.977,85,4,1.0,1,0,3.5333333333333314,3.5333333333333314,0.0,0.7333333333333343,2,2.0,39.0
45,-40.0,41,4.0,0.0,3,63.833333333333336,0.0,-40.0,1,6.0,1,3.0,6,0,40.0,3.0,12.316,95.0,9.419,86,4,0.0,1,0,4.466666666666669,4.466666666666669,0.0,0.8166666666666629,1,2.0,40.0
45,-41.0,42,4.0,1.0,3,64.35,0.0,-41.0,1,7.0,1,3.0,7,1,41.0,3.0,18.004,102.0,14.306,87,4,0.0,0,0,4.983333333333327,4.983333333333327,0.0,0.9333333333333371,2,2.0,41.0
46,42.0,42,-5.0,-0.0,3,65.63333333333334,-1.0,-42.0,0,-0.0,-1,11.0,0,0,42.0,-3.0,38.948,120.0,46.74,88,5,0.0,1,1,0.0,-0.0,0.0,0.5166666666666586,1,-2.0,-42.0
47,42.0,42,-5.0,-0.0,3,66.26666666666667,-1.0,-42.0,0,-1.0,-1,5.0,1,0,42.0,-3.0,15.177,113.0,31.199,89,5,1.0,0,1,0.6333333333333258,-0.6333333333333258,0.0,1.2833333333333456,1,-2.0,-42.0
47,42.0,43,-5.0,-0.0,3,66.76666666666667,-1.0,-42.0,0,-2.0,-1,1.0,2,0,42.0,-3.0,7.428,128.0,11.273,90,5,0.0,1,1,1.1333333333333258,-1.1333333333333258,0.0,0.6333333333333258,2,-2.0,-42.0
47,43.0,44,-5.0,-0.0,3,67.7,-1.0,-43.0,1,-3.0,-1,6.0,3,0,43.0,-3.0,16.135,111.0,22.467,91,5,0.0,1,1,2.066666666666663,-2.066666666666663,0.0,0.5,1,-2.0,-43.0
47,44.0,45,-5.0,-0.0,3,68.43333333333334,-1.0,-44.0,0,-4.0,-1,8.0,4,1,44.0,-3.0,27.317,131.0,36.689,92,5,0.0,1,1,2.799999999999997,-2.799999999999997,0.0,0.9333333333333371,1,-2.0,-44.0
48,45.0,45,-5.0,-1.0,3,69.31666666666666,-1.0,-45.0,0,-5.0,-1,10.0,5,0,45.0,-3.0,32.608,134.0,39.829,93,5,0.0,1,1,3.683333333333323,-3.683333333333323,0.0,0.7333333333333343,1,-2.0,-45.0
48,45.0,46,-5.0,-0.0,3,70.4,-1.0,-45.0,1,-6.0,-1,5.0,6,0,45.0,-3.0,24.947,123.0,30.783,94,5,0.0,1,1,4.766666666666666,-4.766666666666666,0.0,0.8833333333333258,2,-2.0,-45.0
49,46.0,46,-5.0,-1.0,3,71.5,-1.0,-46.0,1,-7.0,-1,10.0,7,0,46.0,-3.0,38.624,107.0,39.903,95,5,0.0,1,1,5.86666666666666,-5.86666666666666,0.0,1.0833333333333428,1,-2.0,-46.0
50,46.0,46,-5.0,-0.0,3,72.13333333333334,-1.0,-46.0,1,-8.0,-1,3.0,8,0,46.0,-3.0,12.75,118.0,26.961,96,5,0.0,0,1,6.5,-6.5,0.0,1.0999999999999943,1,-2.0,-46.0
51,46.0,46,-5.0,-1.0,3,72.61666666666666,-1.0,-46.0,1,-9.0,-1,1.0,9,0,46.0,-3.0,4.663,131.0,6.211,97,5,0.0,1,1,6.98333333333332,-6.98333333333332,0.0,0.63333333333334,1,-2.0,-46.0
52,-46.0,46,6.0,0.0,4,74.8,1.0,-46.0,1,0.0,1,5.0,0,1,46.0,4.0,16.426,129.0,20.629,98,6,1.0,1,1,0.0,0.0,0.0,0.48333333333332007,2,2.0,46.0
52,-46.0,47,6.0,0.0,4,75.45,1.0,-46.0,1,1.0,1,2.0,1,0,46.0,4.0,14.617,115.0,6.367,99,6,0.0,1,1,0.6500000000000057,0.6500000000000057,0.0,2.183333333333337,1,2.0,46.0
53,-47.0,47,6.0,0.0,4,75.91666666666667,1.0,-47.0,1,2.0,1,1.0,2,0,47.0,4.0,6.076,109.0,4.716,100,6,0.0,1,1,1.1166666666666742,1.1166666666666742,0.0,0.6500000000000057,2,2.0,47.0
53,-47.0,48,6.0,0.0,4,76.88333333333334,1.0,-47.0,1,3.0,1,2.0,3,0,47.0,4.0,6.246,91.0,5.607,101,6,0.0,1,1,2.083333333333343,2.083333333333343,1.0,0.46666666666666856,1,2.0,47.0
53,-48.0,49,6.0,0.0,4,77.36666666666666,1.0,-48.0,1,4.0,1,1.0,4,0,48.0,4.0,4.202,126.0,2.576,102,6,0.0,1,1,2.566666666666663,2.566666666666663,0.0,0.9666666666666686,1,2.0,48.0
54,-49.0,49,6.0,1.0,4,77.8,1.0,-49.0,0,5.0,1,1.0,5,0,49.0,4.0,19.512,108.0,12.352,103,6,0.0,1,1,3.0,3.0,0.0,0.48333333333332007,1,2.0,49.0
54,-49.0,50,6.0,0.0,4,78.5,1.0,-49.0,0,6.0,1,10.0,6,0,49.0,4.0,47.896,97.0,29.38,104,6,1.0,1,1,3.700000000000003,3.700000000000003,0.0,0.4333333333333371,1,2.0,49.0
54,-50.0,51,6.0,1.0,4,79.01666666666667,1.0,-50.0,0,7.0,1,3.0,7,0,50.0,4.0,16.449,127.0,7.675,105,6,0.0,1,1,4.216666666666669,4.216666666666669,0.0,0.7000000000000028,2,2.0,50.0
54,51.0,52,-7.0,-0.0,4,79.95,-2.0,-51.0,0,-0.0,-1,1.0,0,0,51.0,-4.0,1.157,121.0,0.75,106,7,0.0,1,2,0.0,-0.0,0.0,0.5166666666666657,1,-2.0,-51.0
55,52.0,52,-7.0,-1.0,4,80.51666666666667,-2.0,-52.0,0,-1.0,-1,4.0,1,0,52.0,-4.0,13.776,118.0,17.854,107,7,0.0,1,2,0.5666666666666629,-0.5666666666666629,0.0,0.9333333333333371,1,-2.0,-52.0
56,52.0,52,-7.0,-0.0,4,81.1,-2.0,-52.0,0,-2.0,-1,3.0,2,0,52.0,-4.0,13.994,128.0,17.377,108,7,0.0,1,2,1.1499999999999915,-1.1499999999999915,1.0,0.5666666666666629,1,-2.0,-52.0
57,52.0,52,-7.0,-0.0,4,81.68333333333334,-2.0,-52.0,0,-3.0,-1,3.0,3,0,52.0,-4.0,17.608,132.0,14.452,109,7,0.0,1,2,1.7333333333333343,-1.7333333333333343,1.0,0.5833333333333286,1,-2.0,-52.0
