p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server,factor
7,-8,8,2,0,0,9.183333333,1,-8,1,4,1,3,4,0,8,0,7.112,128,10.667,15,2,1,1,1,2.1,2.1,0,0.583333333,1,1,8,-3.840382
7,-8,9,2,0,0,9.616666667,1,-8,1,5,1,1,5,0,8,0,2.237,130,3.399,16,2,0,1,1,2.533333333,2.533333333,0,0.5,2,1,8,4.536342
8,-9,9,2,0,0,10.33333333,1,-9,0,6,1,2,6,1,9,0,4.307,97,5.3,17,2,0,1,1,3.25,3.25,0,0.433333333,1,1,9,-6.542241
9,-9,9,2,1,0,10.75,1,-9,0,7,1,1,7,0,9,0,5.499,124,5.245,18,2,0,1,1,3.666666667,3.666666667,0,0.716666667,1,1,9,-3.094044
9,-9,10,3,0,1,11.4,1,-9,1,0,1,3,0,0,9,1,16.594,116,15.194,19,3,1,1,1,0,0,0,0.416666667,1,1,9,5.897009
9,-10,11,3,1,1,11.78333333,1,-10,1,1,1,1,1,0,10,1,1.073,126,0.899,20,3,0,0,1,0.383333333,0.383333333,0,0.65,1,1,10,3.446584
10,-11,11,3,1,1,12.28333333,1,-11,0,2,1,5,2,0,11,1,34.756,127,18.088,21,3,0,0,1,0.883333333,0.883333333,0,0.383333333,1,1,11,-3.002243
10,-11,12,3,1,1,12.73333333,1,-11,0,3,1,2,3,1,11,1,10.818,114,7.288,22,3,0,1,1,1.333333333,1.333333333,0,0.5,1,1,11,4.852554
10,-12,13,3,1,1,13.43333333,1,-12,1,4,1,9,4,0,12,1,32.944,127,42.166,23,3,0,1,1,2.033333333,2.033333333,0,0.45,2,1,12,3.974046
11,-13,13,4,0,1,15.51666667,2,-13,0,0,1,1,0,0,13,1,4.479,103,3.782,24,4,0,1,2,0,0,0,0.7,2,1,13,-2.047728
12,-13,13,4,0,1,16.25,2,-13,1,1,1,3,1,0,13,1,13.713,107,12.601,25,4,0,1,2,0.733333333,0.733333333,1,2.083333333,1,1,13,-5.366296
13,-13,13,4,0,1,16.78333333,2,-13,1,2,1,3,2,1,13,1,13.976,111,14.925,26,4,0,1,2,1.266666667,1.266666667,0,0.733333333,1,1,13,-4.389519
14,-13,13,4,0,1,17.13333333,2,-13,1,3,1,1,3,0,13,1,1.067,125,0.903,27,4,1,1,2,1.616666667,1.616666667,0,0.533333333,1,1,13,-3.861136
14,-13,14,5,0,2,17.81666667,2,-13,1,0,1,3,0,0,13,2,7.402,126,20.027,28,5,1,1,2,0,0,0,0.35,1,1,13,5.374346
14,-14,15,5,1,2,18.41666667,2,-14,1,1,1,5,1,0,14,2,29.366,116,15.352,29,5,0,0,2,0.6,0.6,0,0.683333333,1,1,14,3.783847
14,-15,16,5,1,2,18.83333333,2,-15,1,2,1,1,2,0,15,2,8.276,129,4.285,30,5,0,1,2,1.016666667,1.016666667,0,0.6,1,1,15,2.96558
15,-16,16,5,1,2,19.33333333,2,-16,1,3,1,3,3,0,16,2,12.523,110,11.974,31,5,0,1,2,1.516666667,1.516666667,0,0.416666667,2,1,16,-2.145542
16,-16,16,5,1,2,20.05,2,-16,1,4,1,2,4,0,16,2,6.965,113,5.609,32,5,0,1,2,2.233333333,2.233333333,1,0.5,2,1,16,-1.254635
17,-16,16,5,1,2,20.91666667,2,-16,0,5,1,2,5,0,16,2,12.74,104,8.518,33,5,0,1,2,3.1,3.1,0,0.716666667,1,1,16,-1.60325
17,-16,17,5,0,2,21.45,2,-16,0,6,1,2,6,0,16,2,11.439,111,8.859,34,5,0,0,2,3.633333333,3.633333333,1,0.866666667,2,1,16,4.414572
17,-17,18,5,1,2,22.31666667,2,-17,0,7,1,5,7,0,17,2,25.6,97,30.782,35,5,0,0,2,4.5,4.5,0,0.533333333,1,1,17,4.965173
18,-18,18,6,0,2,24.36666667,3,-18,0,0,1,1,0,0,18,2,9.574,114,6.824,36,6,0,1,3,0,0,0,0.866666667,1,1,18,-1.988796
18,-18,19,6,0,2,24.88333333,3,-18,1,1,1,1,1,0,18,2,6.11,110,7.809,37,6,0,0,3,0.516666667,0.516666667,0,2.05,2,1,18,5.686224
19,-19,19,6,0,2,26.08333333,3,-19,1,2,1,6,2,1,19,2,29.593,90,29.094,38,6,0,1,3,1.716666667,1.716666667,0,0.516666667,1,1,19,-5.746742
20,-19,19,6,0,2,26.5,3,-19,0,3,1,1,3,0,19,2,5.189,125,6.815,39,6,0,1,3,2.133333333,2.133333333,0,1.2,1,1,19,-2.586816
21,-19,19,6,0,2,26.93333333,3,-19,1,4,1,1,4,0,19,2,2.617,127,2.678,40,6,0,1,3,2.566666667,2.566666667,0,0.416666667,2,1,19,-3.342587
21,-19,20,7,0,3,27.7,3,-19,1,0,1,1,0,1,19,3,4.667,111,5.043,41,7,0,1,3,0,0,0,0.433333333,2,1,19,4.688749
21,-20,21,7,1,3,28.61666667,3,-20,1,1,1,9,1,1,20,3,32.677,107,34.233,42,7,0,1,3,0.916666667,0.916666667,0,0.766666667,1,1,20,4.411448
21,-21,22,7,1,3,29.1,3,-21,1,2,1,3,2,0,21,3,19.138,120,9.872,43,7,0,1,3,1.4,1.4,0,0.916666667,1,1,21,3.428351
22,-22,22,7,1,3,29.53333333,3,-22,1,3,1,3,3,0,22,3,11.043,115,6.277,44,7,0,0,3,1.833333333,1.833333333,0,0.483333333,2,1,22,-1.778406
22,-22,23,7,1,3,30.28333333,3,-22,0,4,1,6,4,1,22,3,18.664,104,18.076,45,7,0,1,3,2.583333333,2.583333333,0,0.433333333,2,1,22,5.179245
23,-23,23,8,0,3,32.56666667,4,-23,0,0,1,5,0,0,23,3,25.324,101,31.727,46,8,0,1,4,0,0,0,0.75,1,1,23,-3.648275
23,-23,24,8,0,3,32.95,4,-23,0,1,1,1,1,0,23,3,4.853,132,5.879,47,8,0,0,4,0.383333333,0.383333333,0,2.283333333,2,1,23,1.171162
24,-24,24,8,0,3,33.55,4,-24,0,2,1,0,2,0,24,3,0.93,132,0.929,48,8,0,0,4,0.983333333,0.983333333,0,0.383333333,1,1,24,-5.109309
24,-24,25,8,0,3,33.96666667,4,-24,0,3,1,1,3,0,24,3,0.849,130,1.427,49,8,1,0,4,1.4,1.4,0,0.6,2,1,24,2.018477
24,-25,26,8,0,3,34.76666667,4,-25,0,4,1,6,4,1,25,3,18.464,101,17.838,50,8,0,1,4,2.2,2.2,0,0.416666667,2,1,25,1.906835
24,-26,27,8,1,3,36.03333333,4,-26,0,5,1,16,5,0,26,3,54.356,106,61.781,51,8,0,1,4,3.466666667,3.466666667,0,0.8,2,1,26,2.346287
24,-27,28,9,0,3,37.3,5,-27,1,0,1,6,0,0,27,3,19.121,106,29.677,52,9,0,1,5,0,0,0,1.266666667,1,1,27,4.241854
25,-28,28,9,1,3,37.73333333,5,-28,0,1,1,1,1,1,28,3,4.725,115,3.341,53,9,0,1,5,0.433333333,0.433333333,0,1.266666667,2,1,28,-3.084797
25,-28,29,9,0,3,38.43333333,5,-28,0,2,1,2,2,1,28,3,7.524,100,5.528,54,9,0,1,5,1.133333333,1.133333333,0,0.433333333,1,1,28,4.498317
26,-29,29,9,1,3,38.9,5,-29,0,3,1,1,3,0,29,3,6.116,122,4.227,55,9,0,1,5,1.6,1.6,0,0.7,1,1,29,-1.122257
26,-29,30,9,0,3,39.48333333,5,-29,1,4,1,4,4,0,29,3,11.702,115,11.654,56,9,0,1,5,2.183333333,2.183333333,0,0.466666667,1,1,29,4.607069
27,-30,30,9,1,3,40.01666667,5,-30,1,5,1,3,5,0,30,3,11.519,129,11.34,57,9,0,1,5,2.716666667,2.716666667,0,0.583333333,1,1,30,-0.998399
27,-30,31,9,0,3,40.55,5,-30,1,6,1,2,6,1,30,3,8.077,113,9.299,58,9,0,1,5,3.25,3.25,1,0.533333333,1,1,30,2.676245
28,-31,31,9,1,3,41.38333333,5,-31,0,7,1,7,7,1,31,3,29.751,114,31.428,59,9,0,1,5,4.083333333,4.083333333,0,0.533333333,2,1,31,-0.891967
29,-31,31,9,0,3,42.51666667,5,-31,1,8,1,4,8,1,31,3,17.962,88,16.514,60,9,1,1,5,5.216666667,5.216666667,0,0.833333333,1,1,31,-0.556865
29,-31,32,9,1,3,43.3,5,-31,0,9,1,6,9,0,31,3,23.411,123,21.882,61,9,1,1,5,6,6,0,1.133333333,1,1,31,4.012483
29,-32,33,9,0,3,43.98333333,5,-32,1,10,1,7,10,0,32,3,28.259,121,18.705,62,9,0,1,5,6.683333333,6.683333333,0,0.783333333,1,1,32,3.461523
29,-33,34,9,1,3,44.48333333,5,-33,1,11,1,1,11,0,33,3,3.14,130,2.109,63,9,0,1,5,7.183333333,7.183333333,0,0.683333333,1,1,33,3.870311
30,-34,34,1,0,0,47.06666667,0,-34,1,0,1,3,0,1,34,0,19.606,132,16.592,64,1,0,1,0,0,0,0,0.5,1,2,34,-1.772931
31,-34,34,1,0,0,47.45,0,-34,1,1,1,1,1,0,34,0,0.843,123,1.621,65,1,1,1,0,0.383333333,0.383333333,0,2.583333333,1,2,34,-2.146774
32,-34,34,1,0,0,47.86666667,0,-34,1,2,1,1,2,0,34,0,0.864,117,0.896,66,1,1,1,0,0.8,0.8,0,0.383333333,1,2,34,-0.717959
33,-34,34,1,0,0,48.28333333,0,-34,1,3,1,1,3,0,34,0,3.818,123,3.619,67,1,0,1,0,1.216666667,1.216666667,0,0.416666667,1,2,34,-3.364146
33,-34,35,2,0,1,49.28333333,0,-34,1,0,1,1,0,0,34,1,6.471,122,9.33,68,2,0,0,0,0,0,0,0.416666667,1,2,34,3.918519
33,-35,36,2,1,1,49.63333333,0,-35,1,1,1,1,1,0,35,1,1.015,127,0.827,69,2,0,1,0,0.35,0.35,0,1,2,2,35,3.344547
34,-36,36,2,1,1,50.23333333,0,-36,1,2,1,1,2,1,36,1,3.715,102,2.754,70,2,0,1,0,0.95,0.95,0,0.35,2,2,36,-2.755168
35,-36,36,2,1,1,51.16666667,0,-36,0,3,1,2,3,1,36,1,3.801,111,3.314,71,2,1,1,0,1.883333333,1.883333333,0,0.6,1,2,36,-1.113761
35,-36,37,2,0,1,51.9,0,-36,0,4,1,12,4,0,36,1,40.171,118,35.48,72,2,0,1,0,2.616666667,2.616666667,1,0.933333333,1,2,36,3.425956
36,-37,37,2,1,1,52.35,0,-37,0,5,1,1,5,0,37,1,1.682,126,0.824,73,2,0,1,0,3.066666667,3.066666667,0,0.733333333,2,2,37,-1.691098
37,-37,37,2,0,1,53.1,0,-37,1,6,1,2,6,0,37,1,13.243,97,11.674,74,2,0,0,0,3.816666667,3.816666667,1,0.45,2,2,37,-1.648997
38,-37,37,2,1,1,54.18333333,0,-37,0,7,1,2,7,0,37,1,9.222,105,7.494,75,2,0,1,0,4.9,4.9,1,0.75,1,2,37,-1.674554
39,-37,37,3,0,2,54.93333333,0,-37,1,0,1,2,0,0,37,2,10.59,129,8.235,76,3,0,1,0,0,0,0,1.083333333,1,2,37,-1.191092
40,-37,37,3,0,2,55.33333333,0,-37,0,1,1,1,1,0,37,2,7.455,126,8.125,77,3,0,0,0,0.4,0.4,0,0.75,1,2,37,0.649019
41,-37,37,3,0,2,55.83333333,0,-37,1,2,1,1,2,0,37,2,11.06,128,9.712,78,3,0,0,0,0.9,0.9,0,0.4,1,2,37,-0.439304
42,-37,37,3,0,2,57.13333333,0,-37,0,3,1,3,3,1,37,2,5.077,108,10.788,79,3,1,1,0,2.2,2.2,0,0.5,2,2,37,-0.694911
43,-37,37,4,0,3,59.36666667,0,-37,0,0,1,7,0,0,37,3,35.246,101,33.044,80,4,0,0,0,0,0,1,1.3,2,2,37,-0.736077
43,-37,38,4,0,3,60.28333333,0,-37,0,1,1,10,1,0,37,3,44.017,106,54.924,81,4,0,1,0,0.916666667,0.916666667,0,2.233333333,1,2,37,3.344822
43,-38,39,4,0,3,60.68333333,0,-38,1,2,1,1,2,0,38,3,9.173,111,6.013,82,4,0,1,0,1.316666667,1.316666667,0,0.916666667,1,2,38,2.836788
44,-39,39,4,1,3,61.35,0,-39,1,3,1,1,3,0,39,3,0.939,110,0.761,83,4,0,0,0,1.983333333,1.983333333,0,0.4,1,2,39,-1.663388
45,-39,39,4,0,3,62.08333333,0,-39,0,4,1,8,4,0,39,3,40.876,119,57.844,84,4,0,0,0,2.716666667,2.716666667,0,0.666666667,2,2,39,-0.654156
45,-39,40,4,0,3,62.9,0,-39,1,5,1,4,5,0,39,3,15.558,95,12.977,85,4,1,1,0,3.533333333,3.533333333,0,0.733333333,2,2,39,2.790352
45,-40,41,4,0,3,63.83333333,0,-40,1,6,1,3,6,0,40,3,12.316,95,9.419,86,4,0,1,0,4.466666667,4.466666667,0,0.816666667,1,2,40,1.385989
45,-41,42,4,1,3,64.35,0,-41,1,7,1,3,7,1,41,3,18.004,102,14.306,87,4,0,0,0,4.983333333,4.983333333,0,0.933333333,2,2,41,1.441465
46,-42,42,5,0,3,65.63333333,1,-42,0,0,1,11,0,0,42,3,38.948,120,46.74,88,5,0,1,1,0,0,0,0.516666667,1,2,42,-4.193742
47,-42,42,5,0,3,66.26666667,1,-42,0,1,1,5,1,0,42,3,15.177,113,31.199,89,5,1,0,1,0.633333333,0.633333333,0,1.283333333,1,2,42,-1.800689
47,-42,43,5,0,3,66.76666667,1,-42,0,2,1,1,2,0,42,3,7.428,128,11.273,90,5,0,1,1,1.133333333,1.133333333,0,0.633333333,2,2,42,1.172479
47,-43,44,5,0,3,67.7,1,-43,1,3,1,6,3,0,43,3,16.135,111,22.467,91,5,0,1,1,2.066666667,2.066666667,0,0.5,1,2,43,1.239306
47,-44,45,5,0,3,68.43333333,1,-44,0,4,1,8,4,1,44,3,27.317,131,36.689,92,5,0,1,1,2.8,2.8,0,0.933333333,1,2,44,2.022336
48,-45,45,5,1,3,69.31666667,1,-45,0,5,1,10,5,0,45,3,32.608,134,39.829,93,5,0,1,1,3.683333333,3.683333333,0,0.733333333,1,2,45,-3.332663
48,-45,46,5,0,3,70.4,1,-45,1,6,1,5,6,0,45,3,24.947,123,30.783,94,5,0,1,1,4.766666667,4.766666667,0,0.883333333,2,2,45,2.45906
49,-46,46,5,1,3,71.5,1,-46,1,7,1,10,7,0,46,3,38.624,107,39.903,95,5,0,1,1,5.866666667,5.866666667,0,1.083333333,1,2,46,-2.103683
50,-46,46,5,0,3,72.13333333,1,-46,1,8,1,3,8,0,46,3,12.75,118,26.961,96,5,0,0,1,6.5,6.5,0,1.1,1,2,46,0.131368
51,-46,46,5,1,3,72.61666667,1,-46,1,9,1,1,9,0,46,3,4.663,131,6.211,97,5,0,1,1,6.983333333,6.983333333,0,0.633333333,1,2,46,-0.96578
52,-46,46,6,0,4,74.8,1,-46,1,0,1,5,0,1,46,4,16.426,129,20.629,98,6,1,1,1,0,0,0,0.483333333,2,2,46,-0.581999
52,-46,47,6,0,4,75.45,1,-46,1,1,1,2,1,0,46,4,14.617,115,6.367,99,6,0,1,1,0.65,0.65,0,2.183333333,1,2,46,3.279201
53,-47,47,6,0,4,75.91666667,1,-47,1,2,1,1,2,0,47,4,6.076,109,4.716,100,6,0,1,1,1.116666667,1.116666667,0,0.65,2,2,47,-0.831964
53,-47,48,6,0,4,76.88333333,1,-47,1,3,1,2,3,0,47,4,6.246,91,5.607,101,6,0,1,1,2.083333333,2.083333333,1,0.466666667,1,2,47,3.160975
53,-48,49,6,0,4,77.36666667,1,-48,1,4,1,1,4,0,48,4,4.202,126,2.576,102,6,0,1,1,2.566666667,2.566666667,0,0.966666667,1,2,48,3.287988
54,-49,49,6,1,4,77.8,1,-49,0,5,1,1,5,0,49,4,19.512,108,12.352,103,6,0,1,1,3,3,0,0.483333333,1,2,49,-1.626255
54,-49,50,6,0,4,78.5,1,-49,0,6,1,10,6,0,49,4,47.896,97,29.38,104,6,1,1,1,3.7,3.7,0,0.433333333,1,2,49,2.803425
54,-50,51,6,1,4,79.01666667,1,-50,0,7,1,3,7,0,50,4,16.449,127,7.675,105,6,0,1,1,4.216666667,4.216666667,0,0.7,2,2,50,2.538042
54,-51,52,7,0,4,79.95,2,-51,0,0,1,1,0,0,51,4,1.157,121,0.75,106,7,0,1,2,0,0,0,0.516666667,1,2,51,0.724253
55,-52,52,7,1,4,80.51666667,2,-52,0,1,1,4,1,0,52,4,13.776,118,17.854,107,7,0,1,2,0.566666667,0.566666667,0,0.933333333,1,2,52,-2.284449
56,-52,52,7,0,4,81.1,2,-52,0,2,1,3,2,0,52,4,13.994,128,17.377,108,7,0,1,2,1.15,1.15,1,0.566666667,1,2,52,-1.842883
57,-52,52,7,0,4,81.68333333,2,-52,0,3,1,3,3,0,52,4,17.608,132,14.452,109,7,0,1,2,1.733333333,1.733333333,1,0.583333333,1,2,52,-2.178455
57,-52,53,7,0,4,82.25,2,-52,0,4,1,3,4,0,52,4,10.798,125,13.127,110,7,1,0,2,2.3,2.3,0,0.583333333,1,2,52,2.67621
57,-53,54,7,0,4,82.76666667,2,-53,1,5,1,2,5,0,53,4,14.758,108,40.298,111,7,0,1,2,2.816666667,2.816666667,0,0.566666667,2,2,53,2.074076
57,-54,55,7,0,4,83.96666667,2,-54,1,6,1,8,6,1,54,4,39.635,98,50.075,112,7,0,1,2,4.016666667,4.016666667,0,0.516666667,2,2,54,1.659886
58,-55,55,7,1,4,85.01666667,2,-55,0,7,1,8,7,0,55,4,28.309,115,33.142,113,7,0,1,2,5.066666667,5.066666667,0,1.2,1,2,55,-0.32354
59,-55,55,7,0,4,85.53333333,2,-55,1,8,1,1,8,0,55,4,5.977,120,11.436,114,7,0,0,2,5.583333333,5.583333333,0,1.05,1,2,55,-1.586628
59,-55,56,7,1,4,86.28333333,2,-55,0,9,1,7,9,0,55,4,26.376,130,32.537,115,7,1,1,2,6.333333333,6.333333333,0,0.516666667,1,2,55,1.886453
59,-56,57,7,0,4,86.98333333,2,-56,0,10,1,4,10,1,56,4,12.446,124,15.161,116,7,0,1,2,7.033333333,7.033333333,0,0.75,2,2,56,0.568777
59,-57,58,7,1,4,88.46666667,2,-57,1,11,1,6,11,0,57,4,22.001,113,26.033,117,7,0,0,2,8.516666667,8.516666667,0,0.7,1,2,57,0.795264
59,-58,59,8,0,4,90.48333333,3,-58,1,0,1,2,0,1,58,4,6.693,130,9.834,118,8,0,1,3,0,0,0,1.483333333,1,2,58,3.022952
59,-59,60,8,1,4,90.8,3,-59,1,1,1,1,1,0,59,4,3.901,109,2.388,119,8,0,0,3,0.316666667,0.316666667,0,2.016666667,2,2,59,2.235706
59,-60,61,8,1,4,91.35,3,-60,0,2,1,1,2,1,60,4,3.993,91,3.157,120,8,0,1,3,0.866666667,0.866666667,0,0.316666667,2,2,60,1.346237
59,-61,62,8,1,4,91.98333333,3,-61,0,3,1,3,3,0,61,4,15.422,100,9.182,121,8,0,1,3,1.5,1.5,0,0.55,1,2,61,2.368554
59,-62,63,9,0,4,92.75,4,-62,1,0,1,3,0,0,62,4,12.581,113,9.346,122,9,0,0,4,0,0,0,0.633333333,1,2,62,1.148047
60,-63,63,9,1,4,93.18333333,4,-63,0,1,1,2,1,0,63,4,7.568,130,8.636,123,9,0,1,4,0.433333333,0.433333333,0,0.766666667,1,2,63,-3.154276
61,-63,63,9,0,4,93.61666667,4,-63,0,2,1,1,2,0,63,4,1.046,125,1.547,124,9,1,1,4,0.866666667,0.866666667,0,0.433333333,2,2,63,-1.078223
62,-63,63,9,0,4,94.26666667,4,-63,1,3,1,1,3,0,63,4,3.731,106,4.077,125,9,0,1,4,1.516666667,1.516666667,0,0.433333333,1,2,63,-1.399433
63,-63,63,9,0,4,94.7,4,-63,0,4,1,1,4,0,63,4,4.601,123,7.731,126,9,1,1,4,1.95,1.95,0,0.65,1,2,63,-1.964123
63,-63,64,10,0,5,96.46666667,4,-63,0,0,1,3,0,0,63,5,15.027,126,30.357,127,10,0,1,4,0,0,0,0.433333333,1,2,63,3.345931
64,-64,64,10,1,5,96.95,4,-64,0,1,1,1,1,0,64,5,10.031,127,5.517,128,10,0,1,4,0.483333333,0.483333333,0,1.766666667,2,2,64,-0.931873
64,-64,65,10,0,5,98.01666667,4,-64,0,2,1,6,2,0,64,5,36.142,119,18.229,129,10,0,1,4,1.55,1.55,0,0.483333333,2,2,64,4.506294
64,-65,66,10,1,5,98.71666667,4,-65,1,3,1,1,3,0,65,5,3.42,91,2.83,130,10,0,1,4,2.25,2.25,0,1.066666667,1,2,65,2.687532
65,-66,66,10,1,5,99.38333333,4,-66,1,4,1,7,4,0,66,5,55.37,115,32.24,131,10,0,1,4,2.916666667,2.916666667,0,0.7,1,2,66,-0.352199
65,-66,67,10,1,5,99.93333333,4,-66,1,5,1,2,5,1,66,5,13.062,114,9.467,132,10,0,1,4,3.466666667,3.466666667,0,0.666666667,1,2,66,4.820692
66,-67,67,11,0,5,100.7333333,5,-67,1,0,1,5,0,0,67,5,24.158,119,18.941,133,11,0,1,5,0,0,0,0.55,1,2,67,-3.335419
67,-67,67,11,0,5,101.1666667,5,-67,1,1,1,1,1,0,67,5,0.648,111,1.087,134,11,1,0,5,0.433333333,0.433333333,0,0.8,1,2,67,-2.097047
67,-67,68,11,0,5,101.65,5,-67,0,2,1,1,2,0,67,5,4.743,132,7.276,135,11,0,0,5,0.916666667,0.916666667,0,0.433333333,2,2,67,1.482381
68,-68,68,11,0,5,102.3666667,5,-68,0,3,1,2,3,0,68,5,8.844,105,10.946,136,11,0,1,5,1.633333333,1.633333333,0,0.483333333,1,2,68,-3.779412
69,-68,68,11,0,5,103.25,5,-68,1,4,1,3,4,1,68,5,13.468,132,28.855,137,11,0,0,5,2.516666667,2.516666667,0,0.716666667,2,2,68,-1.081012
69,-68,69,12,0,6,105.4,5,-68,0,0,1,1,0,0,68,6,5.199,100,4.713,138,12,0,1,5,0,0,0,0.883333333,1,2,68,3.529465
69,-69,70,12,1,6,105.9833333,5,-69,0,1,1,1,1,0,69,6,7.217,129,7.323,139,12,0,1,5,0.583333333,0.583333333,0,2.15,2,2,69,1.100106
69,-70,71,12,1,6,106.6333333,5,-70,1,2,1,1,2,1,70,6,3.688,98,1.865,140,12,0,1,5,1.233333333,1.233333333,0,0.583333333,2,2,70,2.429443
69,-71,72,12,1,6,107.2833333,5,-71,1,3,1,1,3,0,71,6,2.386,122,1.945,141,12,0,1,5,1.883333333,1.883333333,0,0.65,1,2,71,1.781253
70,-72,72,13,0,6,108.2,6,-72,1,0,1,3,0,0,72,6,42.672,129,18.845,142,13,0,1,6,0,0,0,0.65,1,2,72,-2.964332
70,-72,73,13,0,6,109.1833333,6,-72,1,1,1,15,1,0,72,6,52.441,128,68.799,143,13,0,1,6,0.983333333,0.983333333,0,0.916666667,1,2,72,3.523614
70,-73,74,13,0,6,109.6166667,6,-73,0,2,1,1,2,0,73,6,5.357,127,5.871,144,13,0,1,6,1.416666667,1.416666667,0,0.983333333,2,2,73,1.043523
71,-74,74,13,1,6,111.5333333,6,-74,1,3,1,13,3,0,74,6,46.792,100,51.185,145,13,0,1,6,3.333333333,3.333333333,0,0.433333333,1,2,74,-2.861317
72,-74,74,13,0,6,112.05,6,-74,1,4,1,1,4,0,74,6,6.262,128,9.273,146,13,1,0,6,3.85,3.85,0,1.916666667,1,2,74,-1.747199
72,-74,75,13,0,6,112.6833333,6,-74,1,5,1,1,5,0,74,6,4.836,130,4.948,147,13,1,0,6,4.483333333,4.483333333,0,0.516666667,1,2,74,1.724677
72,-75,76,13,0,6,113.7166667,6,-75,1,6,1,5,6,0,75,6,22.749,119,24.001,148,13,0,1,6,5.516666667,5.516666667,0,0.633333333,1,2,75,1.752162
73,-76,76,13,1,6,114.4166667,6,-76,0,7,1,1,7,0,76,6,8.583,111,4.91,149,13,0,0,6,6.216666667,6.216666667,0,1.033333333,1,2,76,-1.68491
74,-76,76,13,0,6,114.95,6,-76,0,8,1,1,8,0,76,6,8.641,127,10.121,150,13,0,1,6,6.75,6.75,0,0.7,2,2,76,-1.093186
74,-76,77,13,0,6,115.8833333,6,-76,0,9,1,3,9,0,76,6,12.593,104,12.105,151,13,0,1,6,7.683333333,7.683333333,1,0.533333333,1,2,76,1.450583
74,-77,78,13,0,6,116.5333333,6,-77,1,10,1,5,10,0,77,6,27.636,130,19.083,152,13,0,0,6,8.333333333,8.333333333,0,0.933333333,1,2,77,1.587619
75,-78,78,13,1,6,117.1833333,6,-78,1,11,1,3,11,0,78,6,7.639,129,4.877,153,13,0,0,6,8.983333333,8.983333333,0,0.65,1,2,78,-1.971077
76,-78,78,13,0,6,118.4166667,6,-78,1,12,1,3,12,0,78,6,14.846,129,20.076,154,13,0,0,6,10.21666667,10.21666667,0,0.65,1,2,78,-0.691588
